SECCION,anio,lista_nominal,total_votos,votos_validos,nulos,votos_morena,votos_pan,votos_pri,votos_otros,pct_morena,pct_pan,pct_pri,pct_otros,participacion,ganador
2727,2024,,1451,1342,109,814.0,475.0,0,51.0,60.66,35.39,0.0,3.8,,MORENA
2808,2024,,725,670,55,422.0,202.0,0,46.0,62.99,30.15,0.0,6.87,,MORENA
2809,2024,,1266,1148,118,778.0,327.0,0,43.0,67.77,28.48,0.0,3.75,,MORENA
2895,2024,,1793,1676,117,1096.0,494.0,0,86.0,65.39,29.47,0.0,5.13,,MORENA
2896,2024,,207,193,14,137.0,48.0,0,8.0,70.98,24.87,0.0,4.15,,MORENA
